Unnamed: 0.1,Unnamed: 0,french,english
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
6,6,demande,request
7,7,genre,kind
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,eux,them
16,17,chaque,each
17,18,parlé,speak
18,19,arrivé,come
21,22,longtemps,long time
23,24,vont,will
24,25,pendant,while
25,26,aucune,any
26,27,place,square
27,28,parle,speak
28,30,savais,knew
30,33,voici,here is
33,36,donner,give
34,37,type,type
36,39,donné,given
37,40,train,train
38,41,corps,body
39,42,endroit,place
41,44,écoute,listen
43,46,trouve,find
46,49,main,hand
48,51,côté,side
49,52,pouvoir,power
50,53,vieux,old
51,54,sois,be
52,55,tiens,here
54,57,enfant,child
55,58,point,point
56,59,venu,came
57,60,suite,after
59,62,venez,come
60,63,devant,in front of
61,64,vers,towards
62,65,minutes,minutes
63,66,demandé,request
65,68,mis,placed
66,69,belle,beautiful
67,70,droit,law
68,71,aimerais,would like to
70,73,mari,husband
71,74,cause,cause
72,75,enfin,finally
74,77,eau,water
75,78,attendez,Wait
76,79,parti,left
77,80,nouvelle,new
79,82,arrêter,Stop
80,83,dirait,would say
84,87,loin,far
86,89,croire,believe
87,90,chérie,sweetheart
91,95,bureau,office
